Time	RFU(A01)	RFU(A02)	RFU(A03)	RFU(A04)	RFU(A05)	RFU(A06)	RFU(A07)	RFU(A08)	RFU(A09)	RFU(A10)	RFU(A11)	RFU(A12)	C	PlateId	RunProfileEntryIndex	RunNumber	Row
264.65							0.322800							2021-01-07_9776	1	1	A
264.77							0.315900							2021-01-07_9776	1	1	A
264.89							0.312500							2021-01-07_9776	1	1	A
265.01							0.313700							2021-01-07_9776	1	1	A
265.12							0.319300							2021-01-07_9776	1	1	A
265.24							0.326000							2021-01-07_9776	1	1	A
265.36							0.330500							2021-01-07_9776	1	1	A
265.47							0.332600							2021-01-07_9776	1	1	A
265.59							0.333900							2021-01-07_9776	1	1	A
265.71							0.335200							2021-01-07_9776	1	1	A
265.82							0.336600							2021-01-07_9776	1	1	A
265.94							0.338800							2021-01-07_9776	1	1	A
266.06							0.340500							2021-01-07_9776	1	1	A
266.18							0.341100							2021-01-07_9776	1	1	A
266.29							0.341600							2021-01-07_9776	1	1	A
266.41							0.342500							2021-01-07_9776	1	1	A
266.53							0.342200							2021-01-07_9776	1	1	A
266.64							0.340500							2021-01-07_9776	1	1	A
266.76							0.339000							2021-01-07_9776	1	1	A
266.88							0.337700							2021-01-07_9776	1	1	A
266.99							0.335200							2021-01-07_9776	1	1	A
267.11							0.329800							2021-01-07_9776	1	1	A
267.23							0.323800							2021-01-07_9776	1	1	A
267.35							0.319000							2021-01-07_9776	1	1	A
267.46							0.315200							2021-01-07_9776	1	1	A
267.58							0.311700							2021-01-07_9776	1	1	A
267.70							0.309500							2021-01-07_9776	1	1	A
267.81							0.309000							2021-01-07_9776	1	1	A
267.93							0.311500							2021-01-07_9776	1	1	A
268.05							0.317300							2021-01-07_9776	1	1	A
268.16							0.325300							2021-01-07_9776	1	1	A
268.28							0.333400							2021-01-07_9776	1	1	A
268.40							0.338800							2021-01-07_9776	1	1	A
268.52							0.341000							2021-01-07_9776	1	1	A
268.63							0.343700							2021-01-07_9776	1	1	A
268.75							0.346800							2021-01-07_9776	1	1	A
268.87							0.348300							2021-01-07_9776	1	1	A
268.98							0.347300							2021-01-07_9776	1	1	A
269.10							0.346900							2021-01-07_9776	1	1	A
269.22							0.352900							2021-01-07_9776	1	1	A
269.33							0.367500							2021-01-07_9776	1	1	A
269.45							0.386700							2021-01-07_9776	1	1	A
269.57							0.403200							2021-01-07_9776	1	1	A
269.69							0.415000							2021-01-07_9776	1	1	A
269.80							0.424200							2021-01-07_9776	1	1	A
269.92							0.431800							2021-01-07_9776	1	1	A
270.04							0.441200							2021-01-07_9776	1	1	A
270.15							0.456800							2021-01-07_9776	1	1	A
270.27							0.482200							2021-01-07_9776	1	1	A
270.39							0.515600							2021-01-07_9776	1	1	A
270.50							0.555800							2021-01-07_9776	1	1	A
270.62							0.604300							2021-01-07_9776	1	1	A
270.74							0.660800							2021-01-07_9776	1	1	A
270.86							0.722900							2021-01-07_9776	1	1	A
